WordRep,Word,Interval,RealTime,Time,F1,F2,F3,F1_s,F2_s,F3_s
kedavra01,kedavra,a,1.3843528156623557,0.19375,1045.8985776484683,1690.905607866304,3104.544353140274,1028.850848857122,1673.7027157074317,3096.486101929351
kedavra01,kedavra,a,1.3906028156623556,0.2,1023.8756455652366,1667.137670383112,3072.2032692626785,1027.1312141390088,1664.9023990784726,3080.784406259658
kedavra01,kedavra,a,1.3968528156623556,0.20625000000000002,1011.6194192033212,1636.6639189860018,3065.6055963760227,1018.9839815446438,1653.748618743757,3060.5222671985066
kedavra01,kedavra,a,1.4031028156623555,0.2125,1021.4568798653737,1657.444266862158,3043.75793595682,1013.7146533331057,1664.6913856074334,3051.5685505677393
kedavra01,kedavra,a,1.4093528156623556,0.21875,1008.0676609306223,1699.9659709741404,3045.342119370376,1009.779462056967,1678.4743770579935,3050.9921814838704
kedavra01,kedavra,a,1.4156028156623557,0.225,999.813845374905,1678.012893337682,3063.8764891244145,1004.6742045436904,1650.7879548757726,3054.894557008811
kedavra01,kedavra,a,1.4218528156623556,0.23125,1006.1411073255439,1574.3850003154944,3055.4650625316417,1005.8344362847403,1593.3222593850023,3064.828025992608
kedavra01,kedavra,a,1.4281028156623556,0.23750000000000002,1011.5483561537723,1527.56888450183,3075.1425263217675,1001.2180758736525,1537.178861217112,3062.4205468487216
kedavra01,kedavra,a,1.4343528156623555,0.24375,985.9647641416411,1509.5826988340116,3056.6540516927566,974.2521217338048,1489.5899983667498,3043.8055028955373
kedavra01,kedavra,a,1.4406028156623556,0.25000000000000006,925.2432449060004,1431.618411764408,2999.619930672088,924.692003951062,1440.9510841567972,3005.8929406713687
kedavra01,kedavra,a,1.4468528156623557,0.25625000000000003,862.8680028055447,1381.652141871972,2961.4048396492626,863.2052590944776,1387.7091658152665,2967.1924181270037
kedavra01,kedavra,a,1.4531028156623556,0.2625,801.5045295718875,1349.8569438094187,2940.5524840596604,798.884928777523,1360.1830045553722,2946.3482382824163
kedavra01,kedavra,a,1.4593528156623556,0.26875000000000004,732.2822539551369,1349.039927984726,2937.087391138325,728.7223995707967,1351.350883030288,2946.9076410274006
kedavra01,kedavra,a,1.4656028156623555,0.275,652.3804151853658,1355.1557772967196,2963.0830478842154,639.9486884032417,1362.9735086492337,2958.5129950165847
kedavra01,kedavra,a,1.4718528156623556,0.28125000000000006,535.1833960692226,1384.7248206662553,2975.368546027214,535.1833960692226,1384.7248206662553,2975.368546027214
kedavra01,kedavra,non,1.4781028156623557,0.28750000000000003,,,,,,
kedavra01,kedavra,non,1.4843528156623556,0.29375000000000007,,,,,,
kedavra01,kedavra,non,1.4906028156623556,0.30000000000000004,,,,,,
kedavra01,kedavra,non,1.4968528156623555,0.30625,,,,,,
kedavra01,kedavra,non,1.5031028156623556,0.31250000000000006,,,,,,
kedavra01,kedavra,non,1.5093528156623557,0.31875000000000003,,,,,,
kedavra01,kedavra,non,1.5156028156623556,0.32500000000000007,,,,,,
kedavra01,kedavra,non,1.5218528156623556,0.33125000000000004,,,,,,
kedavra01,kedavra,non,1.5281028156623555,0.3375,,,,,,
kedavra01,kedavra,non,1.5343528156623556,0.34375000000000006,,,,,,
kedavra01,kedavra,non,1.5406028156623557,0.35000000000000003,,,,,,
kedavra01,kedavra,non,1.5468528156623556,0.35625000000000007,,,,,,
kedavra01,kedavra,non,1.5531028156623556,0.36250000000000004,,,,,,
kedavra01,kedavra,a,1.5593528156623555,0.36875,412.91255190647524,1198.8108427699267,1731.4144918403408,412.91255190647524,1198.8108427699267,1731.4144918403408
kedavra01,kedavra,a,1.5656028156623556,0.37500000000000006,438.35094928626165,1215.126408762566,1709.0787974473965,436.4290114200699,1213.828081769713,1720.837652217502
kedavra01,kedavra,a,1.5718528156623557,0.38125000000000003,458.0235330674729,1227.5469937766466,1722.019667364768,459.55975482089366,1225.4819870602078,1743.783577641995
kedavra01,kedavra,a,1.5781028156623556,0.38750000000000007,482.3047821089465,1233.7725586414106,1800.25226811382,482.7242239384048,1237.743193620404,1795.8657329379414
kedavra01,kedavra,a,1.5843528156623556,0.39375000000000004,507.8443566387949,1251.9100284431552,1865.3252633352367,514.7206629911775,1255.396779825968,1846.1280425704717
kedavra01,kedavra,a,1.5906028156623555,0.4,554.0128502257912,1280.5077523933378,1872.8065962623582,551.4487418749194,1281.9506652829023,1881.5538623346795
kedavra01,kedavra,a,1.5968528156623556,0.40625000000000006,592.4890187601717,1313.434215012214,1906.5297274064433,592.895790270513,1309.0113860772542,1901.1493255170456
kedavra01,kedavra,a,1.6031028156623557,0.41250000000000003,632.1855018255759,1333.0921908262112,1924.1116528823359,619.5335217060554,1334.1677625393188,1927.4467161920563
kedavra01,kedavra,a,1.6093528156623556,0.41875000000000007,633.9260445324185,1355.976881779531,1951.6987682873894,608.543991872083,1353.733003345854,1943.229339406819
kedavra01,kedavra,a,1.6156028156623556,0.42500000000000004,559.5204292582546,1372.1299374318203,1953.8775970507309,583.4363030481779,1370.9698904173001,1953.7040016759893
kedavra01,kedavra,a,1.6218528156623555,0.43125,556.8624353538607,1384.8028520405492,1955.5356396898474,555.4224585275174,1375.3614131943907,1950.773065246285
kedavra01,kedavra,a,1.6281028156623556,0.43750000000000006,549.884510970437,1369.1514501108034,1942.9059589982764,540.7727339456585,1360.548442933754,1943.8581756696249
kedavra01,kedavra,a,1.6343528156623557,0.44375000000000003,515.5712555126777,1327.6910266499092,1933.1329283207504,532.0418903261673,1337.044485955403,1943.716184093223
kedavra01,kedavra,a,1.6406028156623556,0.45000000000000007,530.6699044953873,1314.290981105496,1955.1096649606427,525.6496545144056,1330.8776531849962,1962.5682680623015
kedavra01,kedavra,a,1.6468528156623556,0.45625000000000004,530.7078035351517,1350.650951799584,1999.4622109055115,539.8591431600994,1336.8977246745847,1995.8732327502942
kedavra01,kedavra,a,1.6531028156623555,0.4625,558.1997214497593,1345.7512411186747,2033.047822384728,561.0922263062924,1340.3267114445853,2035.2975541016533
kedavra01,kedavra,a,1.6593528156623556,0.46875000000000006,594.3691539339663,1324.5779414154974,2073.382629014721,582.0195185209676,1347.3984525980693,2074.654806084792
kedavra01,kedavra,a,1.6656028156623557,0.47500000000000003,593.4896801791768,1371.8661752600356,2117.5339668549273,596.0064177356603,1373.8807866561594,2120.8901062192976
kedavra01,kedavra,a,1.6718528156623556,0.48125000000000007,600.1604190938377,1425.1982432929458,2171.7537227882435,576.1202519688619,1423.954121023661,2169.2075912185537
kedavra01,kedavra,a,1.6781028156623556,0.48750000000000004,534.710656633571,1474.7979445180015,2218.33508401249,563.7296371096463,1455.4718618743327,2211.3757665751127
kedavra01,kedavra,a,1.6843528156623555,0.49375,556.3178356015302,1466.4193978120513,2244.0384929246047,543.0277736206066,1468.0499979811577,2271.8958545956807
kedavra01,kedavra,a,1.6906028156623556,0.5,538.0548286267187,1462.9326516134204,2353.3139868499475,561.1132275891528,1471.4167097445372,2371.2145582413996
kedavra01,kedavra,a,1.6968528156623557,0.5062500000000001,588.9670185392092,1484.89807980814,2516.291194949647,575.5284120303855,1469.0778390750975,2459.3324851246675
