Rep,Word,Interval,RealTime,Time,F1,F2,F3,F1_s,F2_s,F3_s,Speaker
avada02,avada,b,2.59001363592604,-0.16875,744.560089611237,1611.1077692187978,3150.450947946024,732.0529634358805,1612.0141922245955,3130.9656882050417,Clara
avada02,avada,b,2.5962636359260403,-0.1625,789.0113330191551,1641.2407642931987,3155.5016665421076,771.4550966178139,1626.5498748014013,3132.7227521903865,Clara
avada02,avada,b,2.6025136359260403,-0.15625,803.9488864665034,1640.301317391771,3127.3401924567215,805.5374140504364,1635.0803910404281,3125.949461819366,Clara
avada02,avada,b,2.6087636359260404,-0.15,819.2147799369312,1631.022645684665,3092.6598427870204,837.2426380372917,1635.9209775079246,3101.6960635844903,Clara
avada02,avada,b,2.6150136359260405,-0.14375,872.5405088022883,1638.1693074566872,3095.8850531432904,875.5245722501592,1630.963858287629,3072.452968834405,Clara
avada02,avada,b,2.62126363592604,-0.1375,919.5255400619413,1625.4299597308834,3039.6109082064663,913.8563646852925,1627.3374070285802,3048.9133142852356,Clara
avada02,avada,b,2.6275136359260403,-0.13125,965.3772094310033,1621.0454455188515,3029.9809307051423,950.9760491845806,1631.554793640236,3042.0657846859126,Clara
avada02,avada,b,2.6337636359260403,-0.125,986.9546098176498,1631.2819575632818,3042.376410098528,975.5747743108185,1641.4458692429525,3047.397318240169,Clara
avada02,avada,b,2.6400136359260404,-0.11875,996.0812175635976,1660.7114795666323,3061.2046426924085,988.8505544967653,1651.0131601468108,3062.1501182478387,Clara
avada02,avada,b,2.6462636359260405,-0.1125,998.5554591730686,1678.9244155147835,3068.834607639941,995.3580221392325,1655.1884003494579,3070.0265543908813,Clara
avada02,avada,b,2.65251363592604,-0.10625,990.0536134316757,1653.4041831506831,3109.2994756586036,1006.8654534978923,1655.2850977994274,3074.6945789730908,Clara
avada02,avada,b,2.6587636359260403,-0.1,1001.9477736763341,1646.868836351085,3069.609582615864,1021.4584861526486,1648.1046091830906,3062.5873674847003,Clara
avada02,avada,b,2.6650136359260403,-0.09375,1064.5010437110022,1657.3823746271985,3007.4994413372083,1037.3246340974872,1638.3578463555998,3053.1063946141403,Clara
avada02,avada,b,2.6712636359260404,-0.0875,1071.745253247476,1624.1638946682108,3028.2512668048025,1038.631883509519,1628.4398316186207,3048.824364109288,Clara
avada02,avada,b,2.6775136359260405,-0.08125,1031.1990768074336,1601.1164262367104,3074.0589116952387,1033.3520777996018,1626.0830441886083,3066.4494338210766,Clara
avada02,avada,b,2.68376363592604,-0.075,999.8291252020151,1627.1145746877955,3085.2757153978105,1015.3481966368981,1629.5655211819903,3081.111771204692,Clara
avada02,avada,b,2.6900136359260403,-0.06875,1010.8151158568747,1655.775580202511,3129.5523559961616,1000.8977404811529,1635.0551351589627,3100.8482134821884,Clara
avada02,avada,b,2.6962636359260403,-0.0625,987.8477083401981,1642.1080766089196,3084.2566619363274,978.9662977712111,1646.6730026937084,3108.863893103695,Clara
avada02,avada,b,2.7025136359260404,-0.05625,955.212768202329,1638.063057759731,3102.3932798714322,951.8862456893172,1661.285025203282,3135.968863263232,Clara
avada02,avada,b,2.7087636359260405,-0.05,912.5982605254244,1684.4911350387763,3167.4486834841105,912.3112354742412,1686.0253871817995,3169.875291697332,Clara
avada02,avada,b,2.71501363592604,-0.04375,869.1226776949704,1718.8317285944256,3229.768918419929,859.3032842253587,1714.8978251420867,3209.488558378555,Clara
avada02,avada,b,2.7212636359260403,-0.0375,796.188914455681,1748.167190050168,3267.935522988084,755.1242174062849,1748.2119648130101,3244.1583850940647,Clara
